企業キー,法人番号,企業名,EDINETコード,証券コード,提出日,対象期間終了日,最新収集アプリver,データ整合性フラグ,分析候補,企業分類推定,総資産,純資産,負債,自己資本比率,営業利益,経常利益,当期利益,営業キャッシュフロー,投資キャッシュフロー,財務キャッシュフロー,現金及び現金同等物,ROE,平均年齢,平均年間給与,平均勤続年数,研究開発費,売上高・営業収益,従業員数,女性管理職比率,男性育休取得率,男女賃金差異_全労働者,男女賃金差異_正規,男女賃金差異_非正規,詳細業種1,詳細業種1信頼度,詳細業種2,詳細業種2信頼度,詳細業種3,詳細業種3信頼度,詳細業種候補,詳細業種根拠キーワード,しょくばらぼ_JOIN,しょくばらぼ_結合方法,しょくばらぼ_取得項目数,しょくばらぼ_企業名,しょくばらぼ_法人番号,しょくばらぼ_証券コード,しょくばらぼ_業種,しょくばらぼ_都道府県,しょくばらぼ_企業規模,しょくばらぼ_市場区分,しょくばらぼ_正社員の有給休暇取得日数_数値,しょくばらぼ_年次有給休暇取得率（全体）-取得率_数値,しょくばらぼ_年次有給休暇取得率（雇用管理区分）-取得率（一覧）_数値,しょくばらぼ_月平均所定外労働時間_数値,しょくばらぼ_対象労働者全体の月平均の法定時間外労働時間と法定休日労働時間の合計-平均残業時間（詳細）_数値,しょくばらぼ_平均の法定時間外労働60時間以上の労働者の数_数値,しょくばらぼ_男女の賃金の差異-全労働者_数値,しょくばらぼ_男女の賃金の差異-うち正規雇用労働者_数値,しょくばらぼ_男女の賃金の差異-うち非正規雇用労働者_数値,しょくばらぼ_正社員の平均継続勤務年数_数値,しょくばらぼ_従業員の平均年齢_数値,しょくばらぼ_管理職に占める女性の割合_数値,しょくばらぼ_役員に占める女性の割合_数値,しょくばらぼ_育児休業取得率（男性）-男性取得率（一覧）_数値,しょくばらぼ_育児休業取得率（女性）-女性取得率（一覧）_数値,しょくばらぼ_テレワーク制度-可否,しょくばらぼ_副業・兼業-可否,しょくばらぼ_多様な正社員制度-制度-職務限定正社員,しょくばらぼ_多様な正社員制度-制度-勤務地限定正社員,しょくばらぼ_多様な正社員制度-制度-短時間正社員,しょくばらぼ_研修制度-有無,しょくばらぼ_メンター制度-有無,しょくばらぼ_自己啓発支援制度-有無,しょくばらぼ_キャリアコンサルティング制度-有無,しょくばらぼ_社内検定制度-有無,しょくばらぼ_インターンシップの受入-可否,しょくばらぼ_職場見学・職場体験の受入-可否,しょくばらぼ_えるぼし認定-認定有無,しょくばらぼ_プラチナえるぼし認定-認定有無,しょくばらぼ_くるみん-認定有無,しょくばらぼ_プラチナくるみん-認定有無,しょくばらぼ_健康経営銘柄-認定有無,女性活躍DB_JOIN,女性活躍DB_結合方法,女性活躍DB_取得項目数,女性活躍DB_企業名,女性活躍DB_法人番号,女性活躍DB_証券コード,女性活躍DB_業種,女性活躍DB_業種(詳細分類),女性活躍DB_都道府県,女性活躍DB_企業規模,女性活躍DB_市場区分,女性活躍DB_5.男女別の育児休業取得率-男性(%)_数値,女性活躍DB_5.男女別の育児休業取得率-女性(%)_数値,女性活躍DB_6.一月当たりの労働者の平均残業時間-平均残業時間(時間)_数値,女性活躍DB_8.(1)年次有給休暇の取得率-対象労働者(%)_数値,女性活躍DB_8.(2)年次有給休暇の取得率(区)-有給休暇取得率(%)_数値,女性活躍DB_10.管理職に占める女性労働者の割合-割合(%)_数値,女性活躍DB_11.役員に占める女性の割合-割合(%)_数値,女性活躍DB_14.男女の賃金の差異1-全労働者(%)_数値,女性活躍DB_14.男女の賃金の差異2-うち正規雇用労働者(%)_数値,女性活躍DB_14.男女の賃金の差異3-うち非正規雇用労働者(%)_数値,女性活躍DB_フレックスタイム制度,女性活躍DB_在宅勤務・テレワーク,女性活躍DB_短時間勤務制度,女性活躍DB_病気・不妊治療休暇,女性活躍DB_年次有給休暇時間単位取得制度,女性活躍DB_データの最終更新日
corporate_number:1010001000001,1.01E+12,北陸ロボティクス株式会社,金沢開発センター,,,,0.11.24,,yes,operating_company_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:1010001000006,1.01E+12,五洋建設株式会社,E00086,18930,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,7.90413E+11,1.99033E+11,5.91379E+11,0.251,55304000000,53195000000,34692000000,68392000000,-66313000000,9594000000,71435000000,0.187,41.3,9358808,16.7,3300000000,7.94306E+11,3439,0.023,,0.601,0.636,0.526,建設,0.42,リース/信販,0.11,不動産/デベロッパー,0.08,建設:0.42 | リース/信販:0.11 | 不動産/デベロッパー:0.08,"建設, リース, 土木, 建築, 造船, 発電, 施工, 賃貸",matched,corporate_number,140,五洋建設株式会社,1.01E+12,,D:建設業,13:東京都,3946人,,,,61.4,,15.7,,60.1,63.6,52.6,,,2.3,5.2,100,100,,,,,,,,,,,,,1:有,0:無,0:無,0:無,0:無,matched,security_code,97,五洋建設株式会社,1010001000006,1893,建設業,その他建設業,東京都,1001～5000人,プライム（東証）,100.0,100.0,15.7,,61.4,2.3,5.2,60.1,63.6,52.6,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月24日
corporate_number:1010001000708,1.01E+12,イチカワ株式会社,E00572,35130,2026/6/18,2026/3/31,0.11.24,,yes,operating_company_candidate,32078000000,24070000000,8008000000,0.75,1570000000,1633000000,1173000000,1862000000,-2577000000,-734000000,5125000000,0.051,43.6,6300000,23.7,316000000,14791000000,523,0.015,,0.756,0.745,0.915,紙/パルプ,0.45,素材/材料,0.19,証券,0.12,紙/パルプ:0.45 | 素材/材料:0.19 | 証券:0.12,"紙, 証券, 素材, 材料, 樹脂, 板紙, 石油, パルプ",matched,corporate_number,58,イチカワ株式会社,1.01E+12,,E:製造業,13:東京都,523人,,,,,,,,75.6,74.5,91.5,,,,,63.6,66.7,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,40,イチカワ株式会社,1010001000708,3513,繊維工業,繊維工業,東京都,501～1000人,スタンダード（東証）,63.6,66.7,,,,,,75.6,74.5,91.5,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年04月30日
corporate_number:1010001003966,1.01E+12,スズデン株式会社,E02838,74800,2026/6/22,2026/3/31,0.11.24,,yes,operating_company_candidate,28351637000,16758552000,11593085000,0.591,2072075000,2339548000,1722899000,1527665000,-1982704000,-843135000,6820265000,0.097,41.4,6582000,16.7,,45902296000,307,0.07,1,0.646,0.697,0.51,半導体製造装置,0.16,半導体,0.16,物流,0.16,半導体製造装置:0.16 | 半導体:0.16 | 物流:0.16,"半導体製造装置, 半導体, 物流, 証券, 人材, 派遣, 保険, アルミ",matched,corporate_number,40,スズデン株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,387人,,,,,,,,65.7,70.2,52.3,,,11.9,,50,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,33,スズデン株式会社,1010001003966,7480,卸売業、小売業,その他卸売業、小売業,東京都,301～500人,スタンダード（東証）,50.0,100.0,,,,11.9,,65.7,70.2,52.3,,,,,,2025年12月19日
corporate_number:1010001008651,1.01E+12,ウシオ電機株式会社,E01929,69250,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,3.31078E+11,1.98338E+11,1.32739E+11,0.599,11959000000,13346000000,7995000000,18144000000,-14109000000,4195000000,71868000000,0.04,44.5,7993595,20.4,13547000000,1.79211E+11,1475,0.069,,0.717,0.713,0.719,半導体製造装置,0.18,ソフトウェア,0.09,半導体,0.09,半導体製造装置:0.18 | ソフトウェア:0.09 | 半導体:0.09,"露光装置, 半導体, 電力, エンジニアリング, 光学, ガラス, 証券, パッケージ",matched,corporate_number,76,ウシオ電機株式会社,1.01E+12,,E:製造業,13:東京都,1475人,,,,83.5,,9.9,,71.6,71.3,61.9,,,6.9,36.4,84,88.9,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,58,ウシオ電機株式会社,1010001008651,6925,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,東京都,1001～5000人,プライム（東証）,84.0,88.9,9.9,,83.5,6.9,36.4,71.6,71.3,61.9,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年06月23日
corporate_number:1010001008692,1.01E+12,住友商事株式会社,E02528,80530,2026/6/12,2026/3/31,0.11.24,,yes,operating_company_candidate,1.36383E+13,4.62856E+12,4.93982E+12,0.339,-36812000000,5.62658E+11,6.00334E+11,8.13456E+11,-1.55892E+11,-2.52531E+11,1.00544E+12,0.129,43.3,18402971,18,,7.33726E+12,4938,0.112,,0.631,0.626,0.493,リース/信販,0.09,食品/飲料,0.07,不動産/デベロッパー,0.07,リース/信販:0.09 | 食品/飲料:0.07 | 不動産/デベロッパー:0.07,"リース, 食品, 鉄鋼, メディア, 建設, 自動車, 商事, 不動産",matched,corporate_number,155,住友商事株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,4829人,,,,73,,9.8,0,63.1,62.6,49.3,,,11.3,20,79.6,98,,,,,,,,,,,,,1:有,0:無,1:有,1:有,0:無,matched,security_code,85,住友商事株式会社,1010001008692,8053,卸売業、小売業,商社,東京都,1001～5000人,プライム（東証）,79.6,98.0,9.8,,73.0,11.3,20.0,63.1,62.6,49.3,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,,2026年06月08日
corporate_number:1010001008734,1.01E+12,日産化学株式会社,E00759,40210,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,3.55078E+11,2.59051E+11,96026000000,0.719,63552000000,65897000000,49707000000,64164000000,-21178000000,-36162000000,35729000000,0.203,40.8,8707047,15.9,21376000000,2.79586E+11,2107,0.054,0.754,0.682,0.764,0.656,化学,0.2,医薬品,0.15,半導体,0.13,化学:0.20 | 医薬品:0.15 | 半導体:0.13,"半導体, 化学, 医薬品, 材料, 創薬, 機能性材料, バイオ, 制御",matched,corporate_number,96,日産化学株式会社,1.01E+12,,E:製造業,13:東京都,2044人,,,,82.2,,16.9,,66.6,74.9,64.1,,,4.7,7.4,73.1,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,68,日産化学株式会社,1010001008734,4021,化学工業,その他化学工業,東京都,1001～5000人,プライム（東証）,73.1,100.0,16.9,,82.2,4.7,7.4,66.6,74.9,64.1,,,,,,2025年07月30日
corporate_number:1010001008742,1.01E+12,ピーエス・コンストラクション株式会社,E01161,18710,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,1.42464E+11,65486000000,76978000000,0.46,12932000000,12717000000,9328000000,-17473000000,-506000000,5243000000,9343000000,0.151,44,9816216,19,1024000000,1.4937E+11,1156,0.009,0.524,0.563,0.566,0.468,建設,0.72,不動産/デベロッパー,0.07,素材/材料,0.07,建設:0.72 | 不動産/デベロッパー:0.07 | 素材/材料:0.07,"建築, 建設, 土木, 施工, 材料, 証券, 不動産, 教育",matched,corporate_number,85,ピーエス・コンストラクション株式会社,1.01E+12,,D:建設業,13:東京都,1325人,,,,59.3,,10.3,,57.9,57.7,58.6,,,0.9,6.2,33,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,63,ピーエス・コンストラクション株式会社,1010001008742,1871,建設業,その他建設業,東京都,1001～5000人,プライム（東証）,33.0,100.0,10.3,,59.3,0.9,6.2,57.9,57.7,58.6,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,年次有給休暇時間単位取得制度,2025年08月28日
corporate_number:1010001008750,1.01E+12,ＤＯＷＡホールディングス株式会社,E00028,57140,2026/6/23,2026/3/31,0.11.24,,yes,operating_company_candidate,7.94476E+11,4.74629E+11,3.19846E+11,0.5734,34192000000,54325000000,62458000000,5241000000,12127000000,-10019000000,49276000000,0.1463,43.3,8313000,15.7,8449000000,7.4541E+11,98,0.037,0.829,0.661,0.66,,半導体,0.13,鉄鋼/非鉄,0.13,素材/材料,0.11,半導体:0.13 | 鉄鋼/非鉄:0.13 | 素材/材料:0.11,"材料, 半導体, 自動車, 銅, 金属材料, 自動車部品, バイオ, ウェハ",matched,corporate_number,66,ＤＯＷＡホールディングス株式会社,1.01E+12,,E:製造業,13:東京都,1010人,,,,82.5,,18.6,,66,66.1,,,,3.7,23.1,82.9,100,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,49,DOWAホールディングス株式会社,1010001008750,5714,鉄鋼業、非鉄金属・金属製品製造業,鉄鋼業、非鉄金属・金属製品製造業,東京都,1001～5000人,プライム（東証）,82.9,100.0,18.6,,82.5,3.7,23.1,66.0,66.1,,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年05月29日
corporate_number:1010001008767,1.01E+12,三井物産株式会社,E02513,80310,2026/6/12,2026/3/31,0.11.24,,yes,operating_company_candidate,2.08215E+13,8.76774E+12,6.4791E+12,0.4211,,6.39093E+11,8.33971E+11,9.52912E+11,-1.03352E+12,26896000000,9.82722E+11,0.1022,42,20589000,17.4,,1.39952E+13,5333,0.12,,0.649,0.657,0.569,石油/資源,0.14,鉄鋼/非鉄,0.11,化学,0.08,石油/資源:0.14 | 鉄鋼/非鉄:0.11 | 化学:0.08,"化学, 石油, LNG, 物流, 鉄鋼, 機械, 保険, 自動車",matched,corporate_number,152,三井物産株式会社,1.01E+12,,I:卸売業，小売業,13:東京都,5587人,,,,69,,6.1,0,59.9,60.4,54.1,,,11,29.4,91,108,,,,,,,,,,,,,1:有,0:無,1:有,1:有,0:無,matched,security_code,85,三井物産株式会社,1010001008767,8031,卸売業、小売業,商社,東京都,5001人以上,プライム（東証）,91.0,108.0,6.1,,69.0,11.0,29.4,59.9,60.4,54.1,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2025年10月10日
